location: [ F1 6 ], Error in matching a t ['a', 'j'] ['t', 'a']
location: [ F1 6 ], Error in matching j a ['a', 'j'] ['t', 'a']
location: [ F2 3 ], Error in matching ə s ['ə', 'n'] ['s', 'i']
location: [ F2 3 ], Error in matching n i ['ə', 'n'] ['s', 'i']
location: [ F2 7 ], Error in matching tʰ o ['tʰ', 'a'] ['o', 'w']
location: [ F2 7 ], Error in matching a w ['tʰ', 'a'] ['o', 'w']
location: [ F2 10 ], Error in matching ts a ['ts', 'ɨ'] ['a', 'n']
location: [ F2 10 ], Error in matching ɨ n ['ts', 'ɨ'] ['a', 'n']
location: [ F2 10 ], Error in matching tsʰ a ['tsʰ', 'ɨ'] ['a', 'n']
location: [ F2 10 ], Error in matching ɨ n ['tsʰ', 'ɨ'] ['a', 'n']
location: [ F3 18 ], Error in matching a j ['a', 'ŋ'] ['j', 'a']
location: [ F3 18 ], Error in matching ŋ a ['a', 'ŋ'] ['j', 'a']
location: [ F4 16 ], Error in matching a p ['a', 'n'] ['p', 'a']
location: [ F4 16 ], Error in matching n a ['a', 'n'] ['p', 'a']
location: [ F5 13 ], Error in matching l i ['l', 'i'] ['i', 'n']
location: [ F5 13 ], Error in matching i n ['l', 'i'] ['i', 'n']
location: [ F6 18 ], Error in matching o w ['t', 'o', 'ŋ'] ['t', 'w', 'ɔ']
location: [ F6 18 ], Error in matching ŋ ɔ ['t', 'o', 'ŋ'] ['t', 'w', 'ɔ']
location: [ F7 16 ], Error in matching i j ['i', 'ŋ'] ['j', 'a']
location: [ F7 16 ], Error in matching ŋ a ['i', 'ŋ'] ['j', 'a']
location: [ F7 18 ], Error in matching a j ['a', 'ŋ'] ['j', 'a']
location: [ F7 18 ], Error in matching ŋ a ['a', 'ŋ'] ['j', 'a']
location: [ F8 13 ], Error in matching i l ['i', 'ŋ'] ['l', 'i']
location: [ F8 13 ], Error in matching ŋ i ['i', 'ŋ'] ['l', 'i']
location: [ F10 12 ], Error in matching s ə ['s', 'ɨ'] ['ə', 'n']
location: [ F10 12 ], Error in matching ɨ n ['s', 'ɨ'] ['ə', 'n']
location: [ F11 18 ], Error in matching o w ['o', 'ŋ'] ['w', 'a']
location: [ F11 18 ], Error in matching ŋ a ['o', 'ŋ'] ['w', 'a']
location: [ F12 4 ], Error in matching w a ['w', 'a'] ['a', 'n']
location: [ F12 4 ], Error in matching a n ['w', 'a'] ['a', 'n']
