f測試項目,Target,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,M1,M2,M3,M5,M6,M7,M8,M9,,,,
大菟-踏渡-但套-嘆稻,ta 51-tʰu 35-tʰa 51-tu 51-tan 51-tʰaw 51-tʰan 51-taw 51,ta 51-tʰu 51-taw 51-tʰu 51-tan 51-tʰaw 51-x y-x y,ta 51-tʰu 51-tʰan 51-tu 51-tan 51-taw 51-x y-x y,ta 51-tu 51-tʰan 51-tu 51-ta 51-taw 51-ta 51-taw 51,ta 51-tu 51-tʰan 51-tu 51-tan 51-tʰaw 51-x y-x y,ta 51-tʰu 51-tʰa 51-tu 51-san 51-tʰaw 51-x y-x y,ta 51-tu 51-tʰa 51-tʰu 51-tan 51-taw 51-tʰan 51-tan 51,ta 51-tu 51-tʰan 51-taw 51-ta 51-tʰan 51-tʰan 51-tʰaw 51,ta 51-tʰu 51-tʰa 51-tu 51-tan 51-taw 51-tʰan 51-taw 51,ta 51-tʰu 51-tan 51-tʰu 51-tan 51-tʰaw 51-tan 51-tʰaw 51,ta 51-tʰu 51-tʰan 51-tu 51-tan 51-taw 51-tʰan 51-taw 51,ta 51-tʰu 51-tʰan 51-tʰu 51-ta 51-lu 51-tʰan 51-tʰaw 55,ta 51-tʰu 51-tʰu 51-tu 51-tan 51-tʰu 51-taw 51-tʰaw 51,ta 51-tʰu 51-tʰa 51-tʰu 51-tan 51-taw 51-tʰan 51-taw 51,ta 51-tʰu 51-tan 51-paw 51-tan 51-tʰaw 51-tan 51-taw 51,ta 51-tʰu 51-tʰan 51-tʰu 51-ta 51-tʰu 51-tʰan 51-tʰaw 51,ta 51-tʰu 51-tan 51-tʰu 51-tan 51-taw 51-ta 51-taw 51,ta 51-tʰu 51-tʂan 51-tʰaw 51-man 51-tʰaw 35-tʰu 51-tʰaw 51,ta 51-tʰu 51-tan 51-tʰaw 51-san 21-taw 51-tan 51-tʰaw 51,ta 51-tu 51-tʰan 51-tu 51-ta 51-taw 51-tʰan 51-taw 51,ta 51-tʰu 51-tan 51-taw 51-tan 51-taw 51-tan 51-pʰaw 51,ta 51-tʰu 51-tan 51-taw 51-tʰan 51-tʰu 51-tan 51-taw 51,,,,
岔怒-吶絀-顛鬧-難潮,tʂʰa 51-nu 51-na 51-tʂʰu 51-tjɛn 55-naw 51-nan 35-tʂʰaw 35,tʂʰa 51-nu 51-na 51-tʂʰu 51-x y-x y-x y-x y,tʂʰa 51-nu 51-na 51-tʂʰu 51-x y-x y-x y-x y,fən 51-nu 51-na 51-tʂʰu 51-tjɛn 55-taw 21-x y-x y,tʂʰa 51-nu 51-na 51-tʂʰu 51-tjɛn 55-naw 51-nan 35-tʂʰaw 35,tʂʰa 51-nu 51-na 51-tʂʰu 51-x y-x y-x y-x y,tʰa 51-nu 51-x y-tʂʰu 51-x y-x y-x y-x y,tʂʰa 51-nu 51-na 51-tʂʰu 51-tjɛn 55-naw 51-na 51-tʰaw 51,tʰa 51-nu 51-x y-x y-tjɛn 55-naw 51-nan 35-tʂʰaw 35,ʂa 51-tʂʰu 51-na 51-tʂʰu 51-tjɛn 55-naw 51-nan 35-tʂʰaw 35,fən 51-tu 51-tʰa 51-tu 51-nan 51-tʂʰu 51-nan 35-tʂʰaw 35,tʰa 51-lu 51-na 51-tʰu 51-tʰan 51-tʂʰaw 55-nan 51-tʰaw 55,fən 51-nu 51-na 51-tʂʰu 51-tjɛn 55-tʰaw 51-na 51-tʰu 51,na 51-nu 51-na 51-nu 51-tʰan 51-tʰaw 51-tʰan 51-taw 51,tʂʰa 51-nu 51-tʂʰa 51-na 51-tjɛn 55-nu 51-x y-x y,tʰa 51-tʰu 51-ta 51-tu 51-tjɛn 55-naw 51-nan 35-tʂʰaw 35,tʂʰa 51-nu 51-na 51-ʐu 51-tjɛn 55-taw 51-nan 35-tʂʰaw 35,tʂʰa 51-nu 51-ta 51-tʰu 51-fən 55-tʂʰaw 35-nan 35-tʂʰaw 35,tʂa 51-nu 51-sa 51-twɔ 35-x y-naw 51-nan 35-x y,tʂʰa 51-nu 51-nan 35-tʂwɔ 35-tjɛn 55-naw 51-nan 35-tʂʰaw 35,tʂʰa 51-tu 51-tʂa 51-naw 51-tjɛn 55-naw 51-x y-x y,tʂʰa 51-nu 51-tan 51-nu 51-nan 51-naw 51-nan 35-tʂʰaw 35,,,,
壩牧-罵怖-絆貿-蔓爆,pa 51-mu 51-ma 51-pu 51-pan 51-maw 51-man 51-paw 51,pa 51-mu 51-paw 51-pu 51-pa 51-nu 51-x y-x y,pa 51-pʰu 51-man 51-pu 51-x y-x y-man 51-paw 51,pʰa 51-pu 51-ta 51-tu 51-x y-x y-x y-x y,pa 51-mu 51-ma 51-pu 51-pa 51-pʰu 51-pʰan 51-paw 51,pa 51-mu 51-ma 51-nu 51-san 51-tʰaw 51-x y-x y,pa 51-mu 51-ma 51-pʰu 51-pu 51-maw 51-x y-x y,x y-x y-ma 51-pu 51-man 51-maw 51-x y-x y,ta 51-nu 51-man 51-pu 51-x y-x y-pʰan 51-pu 51,ʂa 51-tʰu 51-pan 51-nu 51-na 51-paw 51-man 51-paw 51,pa 51-mu 51-man 51-pu 51-pʰa 51-pu 51-man 51-paw 51,pa 51-nu 51-na 51-pu 51-tan 51-tʰaw 55-tʂʰa 51-pu 51,pa 51-mu 51-mu 51-pu 51-pan 51-maw 51-na 51-pʰu 51,pa 51-mu 51-pʰan 51-pa 51-pʰa 51-mu 51-ma 51-mu 51,tʰa 51-mu 51-man 51-pu 51-ta 51-mu 51-x y-x y,pa 51-mu 51-nan 51-nu 51-x y-x y-man 51-paw 51,ta 51-nu 51-man 51-mu 51-tan 51-naw 51-na 51-naw 51,pa 51-mu 51-nan 35-tʰu 35-tʰu 51-tʰaw 35-man 51-paw 51,pa 51-mu 51-ma 51-pʰu 51-tan 51-mu 51-pan 51-pʰu 51,pan 51-mu 51-man 51-mu 51-x y-x y-x y-x y,x y-x y-x y-x y-x y-x y-x y-x y,pa 51-mu 51-pan 51-taw 51-man 51-naw 51-pan 51-paw 51,,,,
大穆-罵肚-誕茂-漫盜,ta 51-mu 51-ma 51-tu 51-tan 51-maw 51-man 51-taw 51,ta 51-nu 51-ma 51-mu 51-paw 51-mu 51-x y-x y,ta 51-mu 51-man 51-tu 51-man 51-maw 51-x y-x y,ta 51-tu 51-man 51-pu 51-ta 51-taw 51-man 51-taw 51,ta 51-lu 51-man 51-tu 51-tan 51-maw 51-x y-x y,x y-x y-x y-x y-tan 51-maw 51-man 51-taw 51,ta 51-mu 51-ma 51-tu 51-tan 51-maw 51-x y-x y,ta 51-mu 51-man 51-tu 51-man 51-tʰaw 51-man 51-mu 51,ta 51-tu 51-pʰa 51-pu 51-x y-x y-man 51-taw 51,ta 51-tu 51-man 51-pu 51-tan 51-maw 51-man 51-maw 51,ta 51-mu 51-ma 51-tu 51-man 51-pu 51-man 51-paw 51,ta 51-tu 51-tan 51-nu 51-ta 51-tʰu 51-nan 51-pʰu 51,ta 51-mu 51-mu 51-pu 51-tan 51-maw 51-maw 51-taw 51,ta 51-mu 51-pʰa 51-mu 51-man 51-mu 51-fan 51-mu 51,tʰa 51-tu 51-man 51-pu 51-tan 51-naw 51-man 51-taw 51,ta 51-mu 51-pan 51-pu 51-tan 51-taw 51-na 51-mu 51,ta 51-mu 51-man 51-tu 51-tan 51-naw 51-ma 51-naw 51,ta 51-mu 51-nan 35-tu 51-nan 35-tʰaw 35-mu 51-taw 51,ta 51-mu 51-ta 51-tu 51-man 51-taw 51-man 51-tʰaw 51,pa 51-mu 51-nan 51-mu 51-nan 35-mu 51-tjɛn 55-tsʰaw 35,ta 51-mu 51-tan 51-tu 51-ma 51-taw 51-tan 51-maw 51,ta 51-mu 51-x y-taw 51-man 51-pu 51-man 51-taw 51,,,,
綻怒-納助-湛鬧-難兆,tʂan 51-nu 51-na 51-tʂu 51-tʂan 51-naw 51-nan 35-tʂaw 51,tʂan 51-nu 51-x y-x y-tʂan 51-naw 51-x y-x y,tʂa 51-nu 51-nan 51-nu 51-nan 35-tʂu 51-x y-tʂaw 51,ta 51-tu 51-nan 51-tu 51-tʂa 51-taw 51-nan 51-taw 51,tʂan 51-nu 51-na 51-tʂu 51-tʂan 51-naw 51-ta 51-x y,tʂan 51-maw 51-x y-x y-x y-x y-nan 35-tʂaw 51,tʂan 51-nu 51-x y-x y-x y-x y-x y-x y,x y-x y-x y-x y-x y-x y-x y-x y,tjɛn 51-nu 51-na 51-tʂu 51-tʂan 51-naw 51-x y-x y,tʂan 51-nu 51-tʂan 51-nu 51-nan 51-paw 51-nan 35-taw 51,tʂan 51-nu 51-na 51-tʂu 51-tʂan 51-naw 51-nan 35-taw 51,tʂan 51-nu 51-nan 51-tʰu 51-tan 51-tʰaw 55-na 51-tu 51,tʂan 51-naw 51-na 51-taw 51-ma 51-taw 51-x y-x y,tʂan 51-nu 51-tʂan 51-tʂu 51-tʂʰan 51-lu 51-tʂaw 51-nu 51,tʰa 51-nu 51-nan 51-taw 51-tʂa 51-lu 51-nan 35-tʰaw 35,ta 51-tu 51-nan 51-tu 51-ʂən 51-tʂaw 51-nan 35-tʂaw 51,tʂan 51-nu 51-na 51-tʂu 51-tʂan 51-naw 51-nan 35-tʂaw 51,tʂan 51-nu 51-tsan 51-tʂu 51-tʰu 51-nan 35-nan 35-tʂaw 51,tʂa 51-nu 51-tʂan 51-nu 51-tʂan 51-taw 51-tʂan 51-tʰu 51,tʂa 51-nu 51-nan 35-tʂu 51-nan 51-tʂu 51-nan 35-tʂaw 51,san 51-nu 51-x y-x y-x y-x y-nan 35-tʂaw 51,tʂan 51-nu 51-na 51-tʂu 51-tʂan 51-naw 51-man 51-taw 51,,,,
他租-紮禿-灘遭-簪掏,tʰa 55-tsu 55-tsa 55-tʰu 55-tʰan 55-tsaw 55-tsan 55-tʰaw 55,tʰa 55-tsu 55-ta 51-nu 51-paw 51-nu 51-x y-x y,tʰa 55-tsu 55-nan 35-tsu 55-tsan 55-tsu 55-nan 35-tʂu 55,tʰa 55-tsu 55-tʰaŋ 55-tsu 55-x y-x y-x y-x y,tʰa 55-tsu 55-tsan 55-tsu 55-tʰan 55-tsaw 55-x y-x y,tʰa 55-tsu 55-tʂʰa 55-tʰu 55-x y-x y-x y-x y,tʰa 55-tʰu 55-tsa 55-tʰu 55-x y-x y-x y-x y,tʰa 55-tsu 55-x y-x y-x y-x y-tsan 55-pʰaw 55,x y-x y-x y-x y-tʰan 55-tsaw 55-tsan 55-tsaw 55,tʰa 55-tsu 55-tʂaw 55-tʰu 55-x y-x y-tsan 55-tʰaw 55,ta 51-tu 51-tʂʰa 55-tsu 55-tʰan 55-tsaw 55-tʰan 55-law 55,tan 55-tsu 55-tsan 55-tʰaw 55-tsan 55-taw 55-x y-x y,tʰa 55-tsu 55-tʰa 55-tʰu 55-na 55-tsu 55-la 55-tsu 55,tʰa 55-tʂʰu 51-tʰan 55-tʂʰu 51-ta 55-tʂʰu 51-tʂʰan 55-tʂʰu 51,tʰa 55-nu 51-tʰan 55-tsaw 55-nan 35-tsaw 55-x y-x y,ta 55-tʰu 55-nan 55-tsaw 55-nan 35-tʰaw 55-x y-x y,tsan 55-tʰaw 55-tʰa 55-tʰaw 55-tsan 55-nu 51-x y-x y,tʰa 55-tʰaw 35-tʰa 55-tsaw 55-tʰu 51-nan 35-tʰu 55-tsaw 55,tʰa 55-tsu 55-tʰan 55-tsu 55-tʰa 55-tsan 55-tsan 55-tsʰu 55,tʂa 51-nu 51-nan 35-tʂu 51-nan 51-tʰaw 55-tsəŋ 55-tʰaw 55,tʰa 55-tsu 55-nan 35-tsʰu 55-nan 35-tʰaw 55-tsan 55-tʰaw 55,tʰa 55-tsu 55-nan 51-tʰu 55-nan 51-tsaw 51-nan 51-tsan 55,,,,
爸度-大怖-半到-但抱,pa 51-tu 51-ta 51-pu 51-pan 51-taw 51-tan 51-paw 51,pa 51-tu 51-ta 51-nu 51-pu 51-tu 51-x y-x y,pa 51-pu 51-ta 51-tu 51-x y-x y-x y-x y,pa 51-tu 51-ta 51-pu 51-man 51-taw 51-pa 51-taw 51,pa 51-tu 51-tan 51-pu 51-tan 51-taw 51-ta 51-x y,pa 51-tu 51-na 51-nu 51-x y-x y-x y-x y,pa 51-pu 51-ta 51-tu 51-pan 51-taw 51-x y-x y,pa 51-pu 51-ta 51-tʰaw 51-x y-x y-x y-x y,ta 51-tu 51-x y-x y-pan 51-taw 51-pʰan 51-taw 51,pa 51-tu 51-taw 51-pu 51-pan 51-taw 51-nan 35-paw 51,pa 51-tu 51-ta 51-tu 51-tan 51-pu 51-tan 51-tsaw 51,pa 51-tu 51-ta 51-tu 51-pan 51-paw 51-pan 51-taw 51,pa 51-tsu 51-ta 51-tsu 51-tan 51-taw 51-tʰa 51-tʰaw 51,pa 51-tu 51-ta 51-tʂʰu 51-pan 51-tu 51-tʰan 51-pʰu 51,pa 51-tu 51-ta 51-taw 51-pan 51-taw 51-nan 35-tʰaw 35,pa 51-pu 51-ta 51-pu 51-tan 51-tu 51-nan 35-tʰaw 55,pa 51-tu 51-tan 51-tu 51-pan 51-taw 51-ta 51-paw 51,pa 51-tu 51-ta 51-pu 51-paw 51-tʰaw 35-tɕʰjɛn 35-nan 35,pa 51-pu 51-ta 51-tu 51-pan 51-pʰu 51-tan 51-pu 51,pa 51-tu 51-pan 51-tu 51-ta 51-pan 51-nan 35-taw 51,pa 51-tu 51-pan 51-paw 51-ta 51-tu 51-nan 35-paw 51,pa 51-tu 51-tan 51-pu 51-man 51-tʰu 51-nan 51-taw 51,,,,
蹋注-詐吐-探趙-棧套,tʰa 51-tʂu 51-tʂa 51-tʰu 21-tʰan 51-tʂaw 51-tʂan 51-tʰaw 51,tʰa 51-tu 51-tʂa 51-tʰu 51-ta 51-x y-x y-x y,tʰa 51-tʂu 51-ta 51-tʂu 51-tʰan 51-tʰaw 51-x y-x y,ta 51-tu 51-tʰaŋ 51-tʂu 51-pa 51-taw 51-tʂan 51-taw 51,tʰa 51-tʂu 51-tsan 51-tʰu 51-tsan 51-taw 51-tʂan 51-tʰaw 51,x y-x y-x y-x y-x y-x y-x y-x y,tʰa 51-tʂu 51-tʂa 51-tʰu 51-x y-x y-x y-x y,ta 51-tʂu 55-x y-x y-tʰan 51-tʰaw 51-tʂan 51-tʰaw 51,x y-x y-x y-x y-x y-x y-x y-x y,tʰa 51-tu 51-tʂa 51-tʰu 51-x y-x y-tʂan 51-tʰaw 51,tʰa 55-tʂu 51-tan 51-tu 51-tʰan 51-tʂaw 51-tʰa 55-tsaw 51,pa 51-tʰu 51-tʂa 51-pʰu 51-pa 51-tu 51-tʂan 51-paw 51,tʰa 55-tʂu 55-tʂan 51-tʰaw 51-tʰa 51-tʰaw 51-tan 51-tʰaw 51,tʰa 55-tu 51-tʂan 51-tʰu 51-tʂan 51-tʂaw 51-x y-x y,tʰa 51-tu 51-tʂan 51-taw 51-x y-nu 51-tʂa 51-pu 51,tʰa 51-tu 51-ta 51-tʰu 51-x y-x y-x y-x y,tʰa 51-tu 51-tsɤ 35-ʂɤ 35-tan 51-taw 51-tʰa 51-taw 51,tʂan 51-tʰu 51-tʂan 51-tʰaw 51-tɕʰin 35-nan 35-tɕʰin 35-tʂʰu 35,ta 51-tʰu 51-tʂan 51-tʰu 51-ta 51-tʰaw 51-tʂan 51-nu 51,tʰan 51-tʂu 51-tʂa 51-tu 51-nan 35-tʰaw 51-tʰaw 51-tʂu 51,tʰa 51-tʂu 51-tan 51-tʰaw 51-nan 35-taw 51-tʂan 51-tʰaw 51,tʰa 51-tʂu 51-tʂan 51-tʰu 51-tʰan 51-tʂaw 51-man 51-tsaw 51,,,,
颯怒-納粟-散鬧-難臊,sa 51-nu 51-na 51-su 51-san 51-naw 51-nan 51-saw 55,sa 51-nu 51-na 51-su 51-x y-x y-x y-x y,sa 51-nu 51-nan 51-tʂ 51-x y-x y-x y-x y,pa 51-tu 51-san 51-tu 51-sa 51-naw 51-x y-x y,sa 51-nu 51-san 51-tʂu 51-san 51-saw 51-nan 51-saw 55,x y-x y-na 51-tsu 51-san 51-naw 51-x y-x y,tʰa 55-nu 51-san 51-nu 51-tsan 51-naw 51-x y-x y,x y-x y-x y-x y-x y-x y-nan 51-saw 55,sa 51-nu 51-na 51-su 51-x y-naw 51-x y-x y,tʂʰa 51-nu 51-na 51-li 51-paw 51-tʂʰu 51-nan 51-saw 55,san 51-nu 51-san 51-tʂu 51-tʰa 51-tu 51-nan 51-saw 55,pa 51-tu 51-san 51-li 51-san 51-tʰaw 55-x y-x y,san 51-su 51-na 51-su 51-san 51-naw 51-san 51-saw 51,x y-x y-x y-x y-x y-x y-x y-x y,na 51-su 51-san 51-su 51-san 51-naw 51-x y-x y,sa 51-lu 51-na 51-lu 51-san 55-tʰaw 55-x y-x y,sa 51-nu 51-nan 51-taw 51-sa 51-nu 51-nan 51-saw 55,nan 51-tʰu 35-tʰu 35-nan 35-san 51-naw 51-nan 51-saw 55,su 51-nu 51-na 51-saw 51-san 51-naw 51-nan 51-saw 55,sa 51-nu 51-nan 35-su 51-x y-x y-nan 35-tsaw 51,sa 51-nu 51-tsʰa 51-nu 51-x y-x y-nan 51-saw 55,sa 51-nu 51-nan 51-su 51-san 51-naw 51-man 51-tʰaw 51,,,,
榨陸-臘祝-綻烙-爛趙,tʂa 51-lu 51-la 51-tʂu 51-tʂan 51-law 51-lan 51-tʂaw 51,x y-x y-la 51-tʂu 51-tʂan 51-nu 51-tʂan 51-x y,tʂa 51-lu 51-la 51-tʂu 51-x y-x y-x y-x y,pa 51-tu 51-san 51-nu 51-tʂa 51-tʂaw 51-lan 51-tʂaw 51,tʂa 51-lu 51-an 51-tʂu 51-lan 51-tsaw 51-lan 51-tʂaw 51,x y-x y-x y-x y-tʂan 51-lwɔ 51-lan 51-tʂaw 51,tʂa 51-lu 51-la 51-tʰu 51-x y-x y-x y-x y,tʂa 51-lu 51-na 51-tʂu 51-tʂan 51-x y-x y-x y,tʂa 51-lu 51-na 51-lu 51-tʂaw 51-tu 51-lan 51-tʂaw 51,tʂa 51-lu 51-la 51-lu 51-law 51-ʐu 51-lan 51-tʂaw 51,tʂa 51-lu 51-nan 51-tʂu 51-la 51-tʂaw 51-tʰan 35-tʂaw 51,pa 51-lu 51-nan 51-tʂu 51-tʂan 51-lwɔ 51-nan 51-tʰaw 55,tʂa 51-lu 51-na 51-tʂu 51-tʂan 51-kɤ 35-na 51-tʂu 51,tʂa 51-ʐu 51-lan 51-ʐu 51-tʂa 51-ʐu 51-tan 51-tʰu 51,tʂa 51-lu 51-lan 51-tʂu 51-tʂʰa 51-nu 51-x y-x y,ta 51-lu 51-lan 51-lu 51-tʂa 51-tu 51-lan 51-tʂaw 51,tʂa 51-lu 51-la 51-nu 51-tʂan 51-naw 51-tʂan 51-tu 51,x y-x y-la 51-nan 35-tʂan 51-law 51-x y-x y,tʂa 51-nu 51-lan 51-tʰu 51-tʂan 51-law 51-lan 51-tʂaw 51,tʂa 51-lu 51-la 51-tʂaw 51-x y-x y-nan 35-tʂaw 51,x y-x y-la 51-tʂu 51-x y-x y-lan 51-tʂaw 51,sa 51-lu 51-lan 51-tʂu 51-na 51-nu 51-lan 51-tʂaw 51,,,,
