測試項目,Target,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,M1,M2,M3,M5,M6,M7,M8,M9
問蹦-甕笨-問凍-甕瞪,wən 51-pəŋ 51-oŋ 51-pən 51-wən 51-toŋ 51-oŋ 51-təŋ 51,wən 51-pəŋ 51-oŋ 51-wən 51-wən 51-pən 51-x y-x y,wən 51-pən 51-oŋ 51-pən 51-x y-x y-x y-x y,wən 51-pəŋ 51-tən 51-pən 51-tʰəŋ 35-toŋ 51-oŋ 51-təŋ 51,woŋ 51-pən 51-pən 51-woŋ 51-woŋ 51-toŋ 51-pən 51-x y,wən 51-təŋ 51-oŋ 51-pən 51-x y-x y-oŋ 51-təŋ 51,wən 51-pəŋ 51-oŋ 51-təŋ 51-x y-x y-x y-x y,wən 51-pən 51-wən 51-pən 51-wən 51-pən 51-oŋ 51-təŋ 51,wən 51-təŋ 51-oŋ 51-təŋ 51-pən 51-təŋ 51-oŋ 51-təŋ 51,wən 51-pəŋ 51-wən 51-pən 51-wən 51-tən 51-oŋ 51-pən 51,wən 51-pəŋ 51-oŋ 51-pən 51-wən 51-toŋ 51-oŋ 51-pəŋ 51,wən 51-pəŋ 51-wən 51-pən 51-wən 51-toŋ 51-wən 51-təŋ 51,wən 51-u 51-oŋ 51-pən 51-wən 51-tan 51-oŋ 51-ta 51,wən 51-pən 51-oŋ 51-təŋ 51-wən 51-pən 51-oŋ 51-təŋ 51,wən 51-pəŋ 51-oŋ 51-x y-i 55-toŋ 51-x y-x y,poŋ 51-pu 51-tʂa 51-lu 51-tʂan 51-lu 51-tan 51-taw 51,wən 51-pəŋ 51-oŋ 51-təŋ 51-wən 51-toŋ 51-oŋ 51-pən 51,wən 51-pəŋ 51-oŋ 51-pən 51-wən 51-toŋ 51-x y-x y,wən 51-pəŋ 51-oŋ 51-pən 51-wən 51-toŋ 51-wən 51-təŋ 51,wən 51-pəŋ 51-wa 21-pən 51-wa 21-toŋ 51-wa 21-pən 51,wən 51-pəŋ 51-oŋ 51-pən 51-wən 51-təŋ 51-oŋ 51-pən 51,wən 51-pəŋ 51-oŋ 51-wən 51-wən 51-toŋ 51-təŋ 51-təŋ 51
因奔-恩賓-音燈-溫丁,in 55-pən 55-ən 55-pin 55-in 55-təŋ 55-wən 55-tiŋ 55,in 55-pən 55-ən 55-pin 55-x y-x y-x y-x y,in 55-pən 55-si 55-pən 55-x y-x y-wən 55-tiŋ 55,in 55-pən 55-ən 55-təŋ 55-wən 55-təŋ 55-wən 55-tiŋ 55,in 55-pən 55-ən 55-pin 55-in 55-təŋ 55-wən 55-tiŋ 55,in 55-pən 55-ən 55-pin 55-x y-x y-x y-x y,in 55-pən 55-ən 55-pin 55-in 55-təŋ 55-x y-tiŋ 55,in 55-pən 55-ən 55-tiŋ 55-ən 55-tiŋ 55-wən 55-tiŋ 55,in 55-pən 55-in 55-təŋ 55-pin 55-təŋ 55-x y-tiŋ 55,in 55-pən 55-ən 55-pin 55-in 55-təŋ 55-wən 55-tiŋ 55,in 55-pən 55-wən 55-tin 55-in 55-pin 55-ən 55-tiŋ 55,in 55-pən 55-wən 55-tiŋ 55-ən 55-tiŋ 55-wən 51-pən 51,in 55-pən 55-ən 55-pən 55-ən 55-pən 55-ən 55-tʰaw 21,in 55-pən 55-ən 55-təŋ 55-in 55-təŋ 55-in 55-təŋ 55,in 55-x y-ən 55-pin 55-in 55-təŋ 55-x y-x y,ən 55-pən 55-ən 55-pən 55-in 55-təŋ 55-ən 55-tiŋ 55,in 55-təŋ 55-wən 55-təŋ 55-in 55-tiŋ 55-ən 55-tiŋ 55,in 55-təŋ 55-wən 55-tu 55-in 55-təŋ 55-in 55-tiŋ 55,in 55-pən 55-ən 55-pin 55-in 55-təŋ 55-təŋ 55-tiŋ 55,in 55-pən 55-wən 55-tiŋ 55-wən 55-təŋ 55-wən 55-tiŋ 55,in 55-təŋ 55-wən 55-təŋ 55-ən 55-təŋ 55-wən 55-tiŋ 55,in 55-pən 55-wən 55-təŋ 55-tiŋ 55-təŋ 55-wən 55-tiŋ 55
屋趴-蛙撲-屋貪-安禿,u 55-pʰa 55-wa 55-pʰu 55-u 55-tʰan 55-an 55-tʰu 55,in 55-pʰa 55-u 55-pa 55-u 55-tʰan 55-x y-x y,u 55-pʰa 55-wa 55-pʰu 55-x y-x y-an 55-tʰu 55,u 55-pʰa 55-waŋ 55-tiŋ 55-u 55-i 55-x y-x y,u 55-pʰa 55-wa 55-pʰu 55-u 55-tʰan 55-an 55-tʰu 55,u 55-pʰa 55-wa 55-u 55-u 55-tʰan 55-x y-x y,u 55-pʰa 55-wa 55-pu 55-u 55-tʰan 55-x y-x y,u 55-pʰa 55-wa 55-tʰu 55-wa 55-pʰa 55-an 55-tʰu 55,u 55-pʰa 55-x y-x y-x y-x y-x y-x y,u 55-pʰa 55-wa 55-pʰu 55-u 55-tʰan 55-an 55-tʰu 55,u 55-pʰa 55-wa 55-pʰu 55-an 55-tʰu 55-tʰan 55-tʰu 55,u 55-pʰa 55-wa 55-pʰa 55-u 55-tʰu 55-an 55-tʰan 55,u 51-pʰa 55-an 55-tʰa 55-u 55-tʰa 55-an 55-tʰa 55,u 55-pʰa 55-wa 55-tʰəŋ 55-u 55-pʰən 55-an 55-tʰəŋ 55,u 55-pʰa 55-tʰan 55-pʰu 21-u 55-tʰu 55-u 55-tʰu 55,u 55-pʰa 55-pʰu 21-pa 55-tʰu 55-tʰa 55-u 55-pʰa 55,u 55-pʰa 55-wa 55-tʰu 55-an 55-pʰu 55-u 55-pʰən 55,u 55-pʰu 55-wa 55-tʰa 55-u 55-tʰu 55-an 55-tʰu 55,u 55-pʰa 55-wa 55-pʰu 55-u 55-tʰan 55-u 55-x y,u 55-pʰa 55-wa 55-tʰu 55-an 55-tʰu 55-wa 55-tʰu 55,u 55-pʰa 55-wa 55-tʰu 55-pʰa 55-u 55-an 55-tʰu 55,u 55-pʰu 55-waŋ 55-tʰu 55-wɔ 55-pɔ 55-an 55-tʰu 55
硬樂-俄另-譯特-餓替,iŋ 51-lɤ 51-ɤ 35-liŋ 51-i 51-tʰɤ 51-ɤ 51-tʰi 51,in 55-tʰɤ 51-ɤ 51-tʰɤ 51-x y-x y-x y-x y,iŋ 51-lɤ 51-ɤ 35-liŋ 51-i 51-tʰɤ 51-x y-x y,iŋ 51-lɤ 51-ɤ 35-i 51-i 51-tʰɤ 51-ɤ 51-i 51,iŋ 51-lɤ 51-ɤ 35-liŋ 51-iŋ 51-tʰɤ 51-ɤ 51-tʰi 51,iŋ 51-lɤ 51-u 51-lɤ 51-x y-x y-ɤ 51-tʰi 51,iŋ 51-lɤ 51-ɤ 35-liŋ 51-iŋ 51-tʰɤ 51-x y-x y,iŋ 51-lɤ 51-ɤ 35-tʰi 51-iŋ 51-tʰɤ 51-iŋ 51-tʰi 51,i 51-pi 51-ɤ 35-ləŋ 51-ɤ 51-təŋ 51-x y-x y,iŋ 51-lɤ 51-ɤ 35-li 51-i 51-tʰɤ 51-i 51-lin 51,iŋ 51-lɤ 51-ɤ 35-liŋ 51-i 51-tʰɤ 51-ɤ 51-tʰi 51,iŋ 51-lɤ 51-ɤ 35-liŋ 51-ʂɨ 51-tʰɤ 51-ɤ 51-lin 51,iŋ 51-lən 51-ɤ 35-tʰɤ 51-i 51-lɤ 51-i 51-lən 51,i 51-nən 51-ɤ 35-lən 51-iŋ 51-tʰɤ 51-ən 51-tʰɤ 51,i 55-noŋ 55-i 51-nən 51-nən 51-tʰi 51-x y-x y,iŋ 51-lɤ 51-ɤ 35-lɤ 51-tʰɤ 51-lɤ 51-sɨ 51-lɤ 51,iŋ 51-lɤ 51-ɤ 35-tʰi 51-i 51-lɤ 51-ɤ 51-tʰi 51,iŋ 51-lin 51-ɤ 35-təŋ 51-x y-x y-x y-x y,iŋ 51-lɤ 51-ɤ 35-liŋ 51-in 51-lin 51-lɤ 51-lin 51,iŋ 51-lɤ 51-ɤ 35-liŋ 51-liŋ 51-tʰɤ 51-ɤ 51-tʰɤ 51,iŋ 51-lɤ 51-iŋ 51-tʰɤ 51-liŋ 51-tʰɤ 51-ɤ 51-tʰɤ 51,iŋ 51-lɤ 51-ɤ 35-ɤ 51-i 51-tʰɤ 51-ən 51-tʰɤ 51
安幫-骯班-哀刀-凹呆,an 55-paŋ 55-aŋ 55-pan 55-aj 55-taw 55-aw 55-taj 55,an 55-paŋ 55-aŋ 55-paŋ 55-ta 51-x y-x y-x y,an 55-paŋ 55-an 55-paŋ 55-x y-x y-aw 55-taj 55,an 55-paŋ 55-aj 55-taw 55-taj 55-i 55-aj 55-taw 55,an 55-paŋ 55-an 55-paj 55-an 55-taw 55-x y-x y,an 55-paŋ 55-aŋ 55-x y-an 55-taw 55-x y-x y,an 55-paŋ 55-aŋ 55-pan 55-x y-x y-x y-x y,an 55-paŋ 55-aw 55-taj 55-an 55-tʰan 55-aw 55-taj 55,an 55-paŋ 55-aŋ 55-paŋ 55-aw 55-paŋ 55-an 55-təŋ 55,an 55-paŋ 55-an 55-taj 55-an 55-taw 55-aw 55-tan 55,an 55-paŋ 55-aj 55-taw 55-an 55-taw 55-aw 55-taj 55,an 55-paŋ 55-aŋ 55-tan 55-aw 55-paŋ 55-aw 55-tan 55,an 55-paŋ 55-aŋ 55-pʰan 55-an 55-aŋ 55-an 55-ʂaw 35,an 55-lɤ 51-aw 55-pʰən 51-an 55-tʰɤ 51-in 55-tʰɤ 51,an 55-paŋ 55-an 55-paŋ 55-an 55-taw 55-x y-x y,an 55-pən 55-x y-x y-taw 55-tʰu 55-x y-x y,an 55-paŋ 55-aŋ 55-paŋ 55-aj 55-taw 55-aŋ 55-taj 55,an 55-paŋ 55-aŋ 55-tan 55-an 55-tu 55-an 55-twɔ 21,an 55-tan 55-aŋ 55-paŋ 55-an 55-taw 55-an 55-taj 55,an 55-paŋ 55-ən 55-taj 55-aw 55-tʰɤ 55-an 55-taj 55,an 55-paŋ 55-an 55-təŋ 55-an 55-taw 55-aw 55-taj 55,ən 55-paŋ 55-an 55-taŋ 55-an 55-taw 55-an 55-tʰu 55
歐潘-安剖-鷗它-阿偷,ow 55-pʰan 55-an 55-pʰow 55-ow 55-tʰa 55-a 55-tʰow 55,an 55-paŋ 55-x y-x y-ow 55-tʰa 55-x y-x y,x y-x y-x y-x y-x y-ow 55-tʰa 55-tʰa 55,ow 55-pʰan 55-waŋ 55-paŋ 55-x y-x y-a 55-tʰow 55,ow 55-pʰan 55-an 55-pʰow 55-ow 55-tʰa 55-a 55-tʰow 55,ow 55-pan 55-an 55-pʰow 55-ow 55-tʰa 55-an 55-taw 55,ow 55-paŋ 55-an 55-pʰow 55-ow 55-tʰa 55-x y-x y,ow 55-pʰan 55-a 55-pʰow 55-ow 55-tʰa 55-a 55-tʰow 55,ow 55-pʰan 55-an 55-pʰow 55-x y-x y-a 55-tʰow 55,ow 55-pʰa 55-an 55-pʰow 55-ow 55-tʰa 55-a 55-tʰu 55,ow 55-pʰan 55-an 55-pʰow 55-ow 55-tʰan 55-a 55-pʰu 55,ow 55-pʰan 55-an 55-pʰow 55-a 55-tʰa 55-an 55-pʰan 55,ow 55-pʰa 55-an 55-tʰa 55-ow 55-tʰa 55-a 55-tʰa 55,ow 55-pʰaj 55-an 55-pʰow 55-ow 55-tʰa 55-an 55-tʰow 55,ow 55-tʰa 55-an 55-pʰan 55-x y-x y-x y-x y,ow 55-pʰa 55-an 55-pʰow 55-ow 55-tʰa 55-a 55-taw 55,ow 55-pʰan 55-an 55-pʰow 55-ow 55-tʰa 55-an 55-tʰaj 55,ow 55-tʰiŋ 55-an 55-tʰan 55-an 55-tʰa 55-an 55-tʰow 55,ow 55-pʰan 55-an 55-pʰow 55-pʰɔ 21-taw 55-taw 55-pʰən 21,ow 55-pʰan 55-an 55-pʰow 55-an 55-təŋ 55-a 55-tʰow 55,ow 55-pʰan 55-an 55-tʰaw 55-ow 55-tʰa 55-a 55-tʰow 55,ow 55-pʰa 55-an 55-pʰow 55-an 55-tʰa 55-wa 55-tʰow 55
威掰-哀杯-葳單-安堆,wej 55-paj 55-aj 55-pej 55-wej 55-tan 55-an 55-twej 55,wej 55-tan 55-aj 55-pa 55-x y-x y-an 55-wej 55,wej 55-paj 55-aj 55-wej 55-an 55-wej 55-x y-x y,wej 55-paŋ 55-aŋ 55-paŋ 55-a 55-i 55-a 55-twej 55,wej 55-paj 55-aj 55-pej 55-aj 55-tʰwan 55-an 55-twej 55,wej 55-paj 55-aj 55-x y-x y-tan 55-x y-x y,wej 55-paj 55-an 55-pej 55-wej 55-x y-x y-x y,wej 55-paj 55-an 55-pej 55-wɔ 55-paj 55-an 55-pej 55,wej 55-pej 55-an 55-tan 55-wej 55-pej 55-x y-x y,waj 55-paj 55-waj 55-twej 55-an 55-twej 55-aj 55-wej 55,wej 55-pan 55-aj 55-twej 55-wej 55-taj 55-an 55-twej 55,wej 55-pʰa 55-an 55-tan 55-wej 55-paj 55-an 55-tan 55,wej 55-pa 55-an 55-tʰa 55-wej 55-tʰa 55-wej 55-sa 55,wej 55-tʰa 55-aj 55-pʰən 55-wej 55-tʰa 55-an 55-taj 55,wej 55-an 55-an 55-pej 55-wej 55-pej 55-x y-x y,waj 55-paj 55-aj 55-paj 55-waj 55-taj 55-aj 55-taj 55,wej 55-paj 55-aj 55-twej 55-wej 55-paj 55-aj 55-twej 55,wej 55-pʰan 55-aj 55-tʰaw 55-an 55-tan 55-an 55-taŋ 55,wej 55-paj 55-aj 55-paj 55-an 55-wej 55-aj 55-twej 55,wej 55-paj 55-an 55-tʰwej 55-an 55-paj 55-wej 55-tʰwej 55,wej 55-paj 55-aj 55-taw 55-an 55-tʂwej 55-an 55-twej 55,wej 55-paj 55-aj 55-paj 55-wej 55-paj 55-an 55-təŋ 55
依撲-屋披-衣禿-烏踢,i 55-pʰu 55-u 55-pʰi 55-i 55-tʰu 55-u 55-tʰi 55,i 55-pʰu 55-x y-x y-i 55-tʰu 55-an 55-x y,i 55-pʰu 55-u 55-i 55-i 55-tʰu 55-tʰu 55-i 55,i 55-pʰu 55-u 55-tʰi 55-i 55-u 55-a 55-tʰu 55,u 55-pʰi 55-i 55-tʰu 55-u 55-pʰi 55-u 55-tʰi 55,i 55-pʰu 55-u 55-pʰi 55-i 55-tu 55-x y-x y,i 55-pʰu 55-u 55-pi 55-i 55-tʰu 55-x y-x y,i 55-pʰu 55-wɔ 55-pʰi 55-wɔ 55-pʰu 55-x y-x y,i 55-pʰu 55-u 55-pʰi 55-i 55-tʰu 55-tʰi 55-x y,i 55-tʰu 55-u 55-pʰi 55-i 55-tʰu 55-u 55-tʰi 55,i 55-pʰu 55-u 55-pʰi 55-i 55-pʰu 55-u 55-tʰi 55,i 55-tʰu 55-u 55-pi 55-i 55-tʰu 55-u 55-tʰu 55,i 55-pʰu 55-u 55-tʰa 55-i 55-tʰu 55-u 55-tʰa 55,i 55-tʰu 55-u 55-tʰi 55-u 55-tʰi 55-u 55-pʰən 55,i 55-pʰu 55-u 55-tʰi 55-x y-x y-x y-x y,i 55-pʰu 21-u 55-pʰa 55-i 55-pʰu 55-njaw 21-tʰu 55,i 55-pʰu 55-u 55-pʰi 55-i 55-tʰu 55-u 55-tʰi 55,i 55-pʰi 55-u 55-tʰi 55-i 55-tʰu 55-x y-x y,i 55-pʰu 55-u 55-pʰi 55-i 55-tʰu 55-i 55-tʰu 55,i 55-pʰu 55-u 55-tʰi 55-u 55-pʰu 55-u 55-tʰi 55,i 55-pʰu 55-tʰu 55-pʰi 55-i 55-tʰu 55-u 55-x y,i 55-pʰu 55-u 55-i 55-u 55-pʰu 55-i 55-tʰi 55
資擦-紮疵-姿撒-匝斯,tsɨ 55-tsʰa 55-tsa 55-tsʰɨ 55-tsɨ 55-sa 55-tsa 55-sɨ 55,tsɨ 55-tsʰa 55-tsɨ 55-tsʰɨ 55-x y-x y-x y-x y,an 55-tsa 55-tsa 55-an 55-i 55-tsa 55-tsa 55-i 55,tsɨ 55-tsʰa 55-tsɨ 55-tsʰɨ 55-tsɨ 55-tʰa 55-tsɨ 55-i 55,tsɨ 55-tsʰa 55-tsa 55-tsʰɨ 21-tsɨ 55-sa 35-tsa 55-sɨ 55,tsʰɨ 55-tsʰa 55-tsa 55-tsʰɨ 55-x y-x y-x y-x y,tsɨ 55-tsʰa 55-tsʰa 55-tsɨ 55-tsɨ 55-sa 55-x y-x y,tsɨ 55-tsʰɨ 55-tsʰɨ 55-tsʰɨ 55-tsʰɨ 55-x y-tsɨ 55-tsa 55,tsɨ 55-tsʰa 55-tsa 55-tsʰɨ 55-x y-x y-x y-x y,tsɨ 55-tsʰa 55-tsa 55-sɨ 55-tsɨ 55-tsʰa 55-tsa 55-sɨ 55,tsɨ 55-tsʰa 55-tsa 55-tsʰɨ 55-tsɨ 55-sa 55-tsa 55-tsɨ 55,tsɨ 55-tsʰa 55-tsa 55-tsɨ 55-tsɨ 55-tsʰa 55-tsa 55-tsɨ 55,tsɨ 55-tsʰɨ 55-tsɨ 55-sa 55-tsɨ 55-tsʰɨ 55-tsɨ 55-sa 21,tsɨ 55-tsʰa 55-ʂa 55-sɨ 55-tsɨ 55-tsʰa 55-tsa 55-sɨ 55,tsɨ 55-tsʰa 55-tsɨ 55-sɨ 55-tsɨ 55-x y-an 55-tsa 35,tsɨ 55-tsʰa 55-tsɨ 55-tsʰa 55-tsɨ 55-sɨ 55-tsɨ 55-tsʰɨ 55,tsɨ 55-tsʰa 55-tsʰa 55-sɨ 55-tsɨ 55-tsʰɨ 55-tsa 55-sɨ 55,tsɨ 55-pʰi 55-tsa 55-tsʰɨ 55-tsɨ 55-ti 55-tsɨ 55-ta 55,tsɨ 55-tsʰa 55-tsʰa 55-tsɨ 55-tsɨ 55-san 51-tsɨ 55-sɨ 55,tsɨ 55-tsʰa 55-tsa 55-sɨ 55-tsa 55-tsʰɨ 55-tsa 55-sɨ 55,tsɨ 55-tsʰa 55-tsɨ 55-sɨ 55-tsɨ 55-sɨ 55-tsa 55-sɨ 55,tsɨ 55-tsʰa 55-tsɨ 55-tsʰa 55-x y-x y-ɤ 55-sɨ 55
預路-物濾-綠務-錄裕,y 51-lu 51-u 51-ly 51-ly 51-u 51-lu 51-y 51,y 51-lu 51-y 51-tʰɤ 51-x y-u 55-x y-x y,y 51-lu 51-lu 51-y 51-u 51-lu 51-lu 51-u 51,y 51-lu 51-u 51-lu 51-x y-x y-x y-x y,y 51-lu 51-u 51-lu 51-ly 51-u 51-ly 51-y 51,y 51-lu 51-x y-x y-ly 51-y 51-lu 51-y 51,y 51-lu 51-u 51-ly 51-y 51-u 51-x y-x y,y 51-lu 51-u 51-y 51-u 51-y 51-y 51-lu 51,i 51-lu 51-lu 51-ly 51-ly 51-lu 51-x y-x y,y 51-lu 51-u 51-lu 51-y 51-lu 51-lu 51-y 51,ly 51-u 51-u 51-ly 51-ly 51-u 51-ly 51-y 51,y 51-lu 51-u 51-ly 51-y 51-lu 51-u 51-ly 51,y 51-lu 51-u 51-lu 51-y 51-u 51-y 51-yu 51,u 51-lu 51-ly 51-lu 51-u 51-lu 51-ly 51-lu 51,ly 51-u 51-u 51-ly 51-u 51-lu 51-x y-x y,i 51-u 51-lu 51-u 51-lu 51-u 51-lu 51-y 51,y 51-lu 51-u 51-ly 51-y 51-ly 51-ly 51-y 51,y 51-ly 51-u 51-ly 51-i 55-li 51-ly 51-lu 55,y 51-lu 51-u 51-ly 51-ly 51-u 51-ly 51-u 51,y 51-lu 51-u 51-lu 51-y 51-lu 51-lu 51-y 51,y 51-lu 51-u 51-lu 51-y 51-lɤ 51-lɤ 51-y 51,y 51-lu 51-u 51-ly 51-y 51-lu 51-u 51-ly 51
